"Kingdom","Phylum","Class","Order","Family","Genus","kingdom","supergroup","division","class","order","family","genus","species"
"Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Oxalophagus","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Holosporales","Holosporaceae","Candidatus_Gortzia","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Fokiniaceae","MD3-55","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiales_fa","Candidatus_Jidaibacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Methyloterrigena","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Ochrophyta_ph","Pinguiophyceae","Pinguiochrysidales","Pinguiochrysidales_fa","Polypodochrysis","Eukaryota","Stramenopiles","Ochrophyta","Pinguiophyceae","Pinguiochrysidales","Pinguiochrysidaceae","Polypodochrysis",NA
"Eukaryota","Florideophycidae","Hildenbrandiophycidae",NA,NA,NA,"Eukaryota","Archaeplastida","Rhodophyta","Florideophyceae",NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Heterolobosea","Tetramitia",NA,NA,NA,"Eukaryota","Excavata","Discoba","Heterolobosea",NA,NA,NA,NA
"Eukaryota","Ciliophora","Intramacronucleata","Armophorea","Clevelandellida",NA,"Eukaryota","Alveolata","Ciliophora","Armophorea","Armophorea_X","Clevelandellida",NA,NA
"Eukaryota","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae",NA,"Eukaryota","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes",NA,NA
"Eukaryota","Basidiomycota","Pucciniomycetes","Pucciniales","Phragmidiaceae",NA,"Eukaryota","Opisthokonta","Fungi","Basidiomycota","Pucciniomycotina","Pucciniomycetes",NA,NA
"Archaea","Thermoplasmatota","Thermoplasmata","Thermoplasmatales","Ferroplasmaceae","Acidiplasma","Archaea",NA,NA,NA,NA,NA,NA,NA
"Archaea","Iainarchaeota","Iainarchaeia","Iainarchaeales",NA,NA,"Archaea",NA,NA,NA,NA,NA,NA,NA
"Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae",NA,"Archaea",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Ochrophyta_ph","Dictyochophyceae","Florenciellales","Florenciellales_fa","Pseudochattonella","Eukaryota","Stramenopiles","Ochrophyta","Dictyochophyceae","Dictyochophyceae_X","Florenciellales","Pseudochattonella",NA
"Eukaryota","Chytridiomycota","Monoblepharidomycetes","Monoblepharidales",NA,NA,"Eukaryota","Opisthokonta","Fungi","Chytridiomycota","Chytridiomycotina","Monoblepharidomycetes",NA,NA
"Archaea","Thermoplasmatota","Thermoplasmata","Marine_Group_II",NA,NA,"Archaea",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Arthropoda","Maxillopoda",NA,NA,NA,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda",NA,NA
"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","GTL1","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Archaea","Thermoplasmatota","Thermoplasmata","Marine_Benthic_Group_D_and_DHVEG-1",NA,NA,"Archaea",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Myxococcota","bacteriap25",NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Ochrophyta_ph","Chrysophyceae","Chromulinales","Chromulinales_fa","eukaryotic","Eukaryota","Stramenopiles","Ochrophyta","Chrysophyceae",NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amylibacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Fretibacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Eisenibacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Kiloniellales","Kiloniellaceae","Tagaea","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sediminimonas","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Necropsobacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","MAST-12","MAST-12A",NA,NA,NA,"Eukaryota","Stramenopiles","Opalozoa","MAST-12","MAST-12A",NA,NA,NA
"Eukaryota","Incertae_Sedis","Incertae_Sedis_cl","Incertae_Sedis_or","Incertae_Sedis_fa","Pirsonia","Eukaryota","Stramenopiles","Pseudofungi","Pirsonia_Clade","Pirsonia_Clade_X","Pirsonia_Clade_XX","Pirsonia",NA
"Eukaryota","Cercozoa","Phytomyxea","Phytomyxea_or","Phytomyxea_fa","Plasmodiophora","Eukaryota","Rhizaria","Cercozoa","Endomyxa-Phytomyxea","Plasmodiophorida","Plasmodiophoridae","Plasmodiophora",NA
"Archaea","Halobacterota","Halobacteria","Halobacterales","Halobacteriaceae",NA,"Archaea",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","MSBL9","4572-13",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Acidobacteriota",NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Euglenozoa","Kinetoplastea",NA,NA,NA,"Eukaryota","Excavata","Discoba","Euglenozoa","Kinetoplastida",NA,NA,NA
"Bacteria","Patescibacteria","Gracilibacteria",NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Arthropoda","Insecta","Embioptera",NA,NA,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Hexapoda","Insecta",NA,NA
"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Bulleidia","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Archaea","Halobacterota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae","SDB","Archaea",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Patescibacteria","Gracilibacteria","Candidatus_Peribacteria",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Choreotrichia","Metacylis","Eukaryota","Alveolata","Ciliophora","Spirotrichea","Tintinnida","Rhabdonellidae","Metacylis",NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Nitrococcales","Halorhodospiraceae","Sulfurivirga","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","Candidatus_Nostocoida","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Pla3_lineage",NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Sinosporangium","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Brocadiae","Brocadiales","Scalinduaceae","Candidatus_Scalindua","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Thermoflexibacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Archaea","Halobacterota","Archaeoglobi","Archaeoglobales","Archaeoglobaceae","Ferroglobus","Archaea",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Fimbriiglobus","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Tuwongella","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Telmatocola","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Schlesneriaceae","Planctopirus","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","OM190",NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir3_lineage","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","SH-PL14","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae","Gimesia","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","B103G10",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmata","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Thermostilla","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","Planctomicrobium","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Firmicutes","Syntrophomonadia","Syntrophomonadales","Syntrophomonadaceae","Pelospora","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rhodopirellula","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","CPla-4_termite_group","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rubripirellula","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Roseimaritima","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","Desulfonispora","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir2_lineage","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bdellovibrionota","Oligoflexia","Silvanigrellales","Silvanigrellaceae","Candidatus_Turbabacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","BD7-11",NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Candidatus_Cryptoprodotis","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Natronohydrobacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","028H05-P-BN-P5",NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Ac37b","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Zavarziniales","Zavarziniaceae","Oleomonas","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Kordiimonadales","Temperatibacteraceae","Temperatibacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","Mangrovibacterium","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Hypotrichia","Stichotricha","Eukaryota","Alveolata","Ciliophora","Spirotrichea","Hypotrichia",NA,NA,NA
"Eukaryota","Ascomycota","Lecanoromycetes","Pertusariales","Pertusariales_fa","Coccotrema","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Lecanoromycetes","Coccotrema",NA
"Eukaryota","Arthropoda","Arachnida","Ricinulei",NA,NA,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Chelicerata","Arachnida",NA,NA
"Eukaryota","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Candelabrochaete","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Candelabrochaete",NA
"Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanococcaceae","Methanotorris","Archaea",NA,NA,NA,NA,NA,NA,NA
"Archaea","Thermoplasmatota","Thermoplasmata","Thermoplasmatales","Thermoplasmataceae","E-plasma","Archaea",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Verrucomicrobiota","Lentisphaeria","Oligosphaerales","Oligosphaeraceae","Oligosphaera","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aestuariimonas","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Holosporales","Holosporaceae","Candidatus_Paraholospora","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-873","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","GZKB124",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Jiella","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Parablastomonas","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methyloferula","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chishuiella","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","hoa5-07d05_gut_group","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Thermotaleaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Ferrovibrionales","Ferrovibrionales_fa","Marinibaculum","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","WC3-116",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Candidatus_Xenolissoclinum","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Candidatus_Arcanobacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Qingshengfania","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Paradevosia","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Holosporales","Holosporaceae","Candidatus_Bealeia","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Gemmatimonadota","PAUC43f_marine_benthic_group",NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Florideophycidae","Rhodymeniophycidae","Rhodymeniophycidae_or","Rhodymeniophycidae_fa","Crouania","Eukaryota","Archaeplastida","Rhodophyta","Florideophyceae","Ceramiales","Callithamniaceae","Crouania",NA
"Bacteria","Planctomycetota","Phycisphaerae","MSBL9","L21-RPul-D3",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","MSBL9","SM23-30",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","MSBL9",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Zoopagomycota","Incertae_Sedis","Harpellales","Legeriomycetaceae","Capniomyces","Eukaryota","Opisthokonta","Fungi","Kickxellomycota","Kickxellomycotina","Harpellales","Capniomyces",NA
"Eukaryota","Apicomplexa","Aconoidasida","Piroplasmorida",NA,NA,"Eukaryota","Alveolata","Apicomplexa","Coccidiomorphea","Piroplasmorida",NA,NA,NA
"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Pseudoscardovia","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","CL500-3","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","FS140-16B-02_marine_group","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","AKYG587","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Urania-1B-19_marine_sediment_group","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","JL-ETNP-F27","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101_soil_group",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Patescibacteria","Gracilibacteria","Candidatus_Peregrinibacteria",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","MSBL9","SG8-4",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Arthropoda","Maxillopoda","Siphonostomatoida",NA,NA,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda",NA,NA
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","S50_wastewater-sludge_group","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Ochrophyta_ph","Eustigmatophyceae","Eustigmatales","Eustigmatales_fa","phytoplankton","Eukaryota","Stramenopiles","Ochrophyta","Eustigmatophyceae",NA,NA,NA,NA
"Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Protohypotrichia",NA,"Eukaryota","Alveolata","Ciliophora","Spirotrichea","Protohypotrichia",NA,NA,NA
"Eukaryota","Dinoflagellata","Dinophyceae","Gonyaulacales","Gonyaulacales_fa","Pyrodinium","Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Gonyaulacales","Goniodomataceae","Pyrodinium",NA
"Eukaryota","Diatomea","Bacillariophyceae","Bacillariophyceae_or","Bacillariophyceae_fa","Bacillaria","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Bacillaria",NA
"Eukaryota","Parabasalia","Cristamonadea","Cristamonadea_or","Cristamonadea_fa","Joenia","Eukaryota","Excavata","Metamonada","Parabasalia","Cristamonadida","Calonymphidae-Devescovinidae","Joenia",NA
"Eukaryota","Basidiomycota","Agaricostilbomycetes","Agaricostilbales","Ruineniaceae","Ruinenia","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Pucciniomycotina","Agaricostilbomycetes",NA,NA
"Archaea","Crenarchaeota","Thermoprotei","Geoarchaeales","SCGC_AAA471-B05",NA,"Archaea",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Euglenozoa","Euglenida","Aphagea",NA,NA,"Eukaryota","Excavata","Discoba","Euglenozoa","Euglenida",NA,NA,NA
"Eukaryota","Arthropoda","Maxillopoda","Arguloida",NA,NA,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda",NA,NA
"Eukaryota","Arthropoda","Maxillopoda","Calanoida",NA,NA,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda",NA,NA
"Eukaryota","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fa","Claviceps","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Sordariomycetes","Claviceps",NA
"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Coriobacteriaceae_UCG-002","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Heterolobosea","Tetramitia","Tetramitia_or","Tetramitia_fa","Naegleria","Eukaryota","Excavata","Discoba","Heterolobosea","Heterolobosea_X","Vahlkampfiidae","Naegleria",NA
"Archaea","Crenarchaeota","Nitrososphaeria","Nitrosotaleales","Nitrosotaleaceae","Candidatus_Nitrosotalea","Archaea",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Nitrospinota","Nitrospinia","Nitrospinales","Nitrospinaceae","LS-NOB","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","NB1-j",NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfonauticaceae","Desulfothermus","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Methylomirabilota","Methylomirabilia","Methylomirabilales","Methylomirabilaceae","MIZ17","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Byssovorax","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiales_Incertae_Sedis","Candidatus_Branchiomonas","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
