"domain","phylum","class","order","family","genus","kingdom","supergroup","division","class","order","family","genus","species"
"Eukaryota","Apicomplexa","Aconoidasida","Haemosporoidia","Haemosporoidia_fa","Plasmodium","Eukaryota","Alveolata","Apicomplexa","Coccidiomorphea","Haemosporida","Plasmodiidae","Plasmodium",NA
"Eukaryota","Arthropoda","Insecta","Diptera",NA,NA,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Hexapoda","Insecta","Diptera",NA
"Eukaryota","Platyhelminthes","Monogenea","Monopisthocotylea","Ancylodiscoididae",NA,"Eukaryota","Opisthokonta","Metazoa","Platyhelminthes","Monogenea","Monopisthocotylea",NA,NA
"Archaea","Halobacterota","ANME-1","ANME-1b",NA,NA,"Archaea",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Patescibacteria","Gracilibacteria","Candidatus Peregrinibacteria",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Eukaryota_ph","Trebouxiophyceae",NA,NA,NA,"Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae",NA,NA,NA,NA
"Eukaryota","Retaria","Foraminifera","Foraminifera_or","Miliolida","Amphisorus","Eukaryota","Rhizaria","Foraminifera","Tubothalamea","Miliolida","Soritidae","Amphisorus",NA
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Blattabacteriaceae","Candidatus Sulcia","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Archaea","Crenarchaeota","Bathyarchaeia",NA,NA,NA,"Archaea",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Patescibacteria","Gracilibacteria","Candidatus Peribacteria",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Arthropoda","Ellipura","Collembola",NA,NA,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Hexapoda","Collembola",NA,NA
"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Ohtaekwangia","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","Fuerstia","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","Singulisphaera","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","Candidatus Nostocoida","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","Isosphaera","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Pla3 lineage",NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Brocadiae","Brocadiales","Scalinduaceae","Candidatus Scalindua","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Fimbriiglobus","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmata","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Telmatocola","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Schlesneriaceae","Planctopirus","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","OM190",NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rhodopirellula","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","SH-PL14","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae","Gimesia","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","Planctomicrobium","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Abditibacteriota","Abditibacteria","Abditibacteriales","Abditibacteriaceae","Abditibacterium","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rubripirellula","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Candidatus Thiobios","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Firmicutes","Desulfitobacteriia","Desulfitobacteriales","Desulfitobacteriaceae","Desulfitobacterium","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Firmicutes","Bacilli","Entomoplasmatales","Entomoplasmatales_fa","Candidatus Spiroplasma","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","BD7-11",NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiales_fa","Candidatus Jidaibacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","028H05-P-BN-P5",NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Tabrizicola","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Kordiimonadales","Kordiimonadaceae","Kordiimonas","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Euglenozoa","Euglenida","Heteronematina","Heteronematina_fa","Petalomonas","Eukaryota","Excavata","Discoba","Euglenozoa","Euglenida","Petalomonadales","Petalomonas",NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Neorickettsia","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Dothideomycetes","Alternaria",NA
"Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae R-7 group","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Archaea","Hadarchaeota","Hadarchaeia","Hadarchaeia_or","Hadarchaeales",NA,"Archaea",NA,NA,NA,NA,NA,NA,NA
"Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanococcaceae","Methanotorris","Archaea",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Gemmatimonadota","BD2-11 terrestrial group",NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","GZKB124",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bacteroidota","Kryptonia","Kryptoniales","MSB-3C8",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family_4","Candidatus Carsonella","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","Draconibacterium","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SM2D12",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Psychroflexus","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Candidatus Portiera","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Retaria","Foraminifera","Rotaliida","Rotaliidae","Ammonia","Eukaryota","Rhizaria","Foraminifera","Globothalamea","Rotaliida","Rotaliidae","Ammonia",NA
"Eukaryota","Platyhelminthes","Rhabditophora","Tricladida",NA,NA,"Eukaryota","Opisthokonta","Metazoa","Platyhelminthes",NA,NA,NA,NA
"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobium","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Holosporales","Holosporaceae","Candidatus Gortzia","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","WC3-116",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Firmicutes","Incertae Sedis_2","DTU014",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Ehrlichia","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Anaplasma","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Retaria","Polycystinea","Collodaria","Collodaria_fa","Siphonosphaera","Eukaryota","Rhizaria","Radiolaria","Polycystinea","Collodaria","Collosphaeridae","Siphonosphaera",NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Holosporales","Holosporaceae","Candidatus Bealeia","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Thalassospiraceae","Thalassospira","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Gemmatimonadota","PAUC43f marine benthic group",NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Arthropoda","Insecta","Neuroptera",NA,NA,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Hexapoda","Insecta",NA,NA
"Eukaryota","Retaria","Foraminifera","Foraminifera_or","Miliolida","Laevipeneroplis","Eukaryota","Rhizaria","Foraminifera","Tubothalamea","Miliolida","Soritidae","Laevipeneroplis",NA
"Eukaryota","Incertae Sedis_3","Incertae Sedis_3_cl","Incertae Sedis_3_or","Incertae Sedis_3_fa","Blastocystis","Eukaryota","Stramenopiles","Opalozoa","Opalinata","Opalinata_X","Blastocystis-Group","Blastocystis",NA
"Eukaryota","Opalinata",NA,NA,NA,NA,"Eukaryota","Stramenopiles","Opalozoa","Opalinata",NA,NA,NA,NA
"Eukaryota","Retaria","Foraminifera","Foraminifera_or","Miliolida","Marginopora","Eukaryota","Rhizaria","Foraminifera","Tubothalamea","Miliolida","Soritidae","Marginopora",NA
"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Leptosphaeria","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Dothideomycetes","Leptosphaeria",NA
"Eukaryota","Rhombozoa","Rhombozoa_cl","Dicyemida","Dicyemida_fa","Dicyema","Eukaryota","Opisthokonta","Metazoa","Mesozoa","Mesozoa_X","Rhombozoa","Dicyema",NA
"Eukaryota","Cnidaria","Myxozoa","Multivalvulida",NA,NA,"Eukaryota","Opisthokonta","Metazoa","Myxozoa",NA,NA,NA,NA
"Eukaryota","Heterolobosea","Tetramitia","Tetramitia_or","Tetramitia_fa","Psalteriomonas","Eukaryota","Excavata","Discoba","Heterolobosea","Heterolobosea_X","Lyromonadidae","Psalteriomonas",NA
"Eukaryota","Nematozoa","Chromadorea","Rhabditida",NA,NA,"Eukaryota","Opisthokonta","Metazoa","Nematoda","Chromadorea",NA,NA,NA
"Eukaryota","Eukaryota_ph","Discosea","Dactylopodida","Dactylopodida_fa","Korotnevella","Eukaryota","Amoebozoa","Lobosa","Discosea-Flabellinia","Dactylopodida","Paramoebidae","Korotnevella",NA
"Eukaryota","Retaria","Foraminifera","Foraminifera_or","Miliolida","Sorites","Eukaryota","Rhizaria","Foraminifera","Tubothalamea","Miliolida","Soritidae","Sorites",NA
"Eukaryota","Retaria","Foraminifera","Rotaliida","Pseudoparrellidae","Epistominella","Eukaryota","Rhizaria","Foraminifera","Globothalamea","Rotaliida","Pseudoparrellidae","Epistominella",NA
"Bacteria","Patescibacteria","Microgenomatia","Candidatus Pacebacteria",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","MSBL9","L21-RPul-D3",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","MSBL9","SM23-30",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","MSBL9","SG8-4",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Elusimicrobiota","Endomicrobia","Endomicrobiales","Endomicrobiaceae","Endomicrobium","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","FCPU426",NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","Desulfocapsa","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","SEEP-SRB4","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","PBS-18",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Candidatus Hodgkinia","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Eukaryota_ph","Discosea","Vannellida","Vannellida_fa","Vannella","Eukaryota","Amoebozoa","Lobosa","Discosea-Flabellinia","Vannellida","Vannellidae","Vannella",NA
"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Verruc-01","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Poribacteria",NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","CL500-3","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","FS140-16B-02 marine group","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Urania-1B-19 marine sediment group","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","JL-ETNP-F27","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hyphomonas","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rhodanobacter","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Dependentiae","Babeliae","Babeliales","Vermiphilaceae",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Retaria","Foraminifera","Rotaliida","Nummulitidae",NA,"Eukaryota","Rhizaria","Foraminifera","Globothalamea","Rotaliida","Nummulitidae",NA,NA
"Bacteria","Patescibacteria","Berkelbacteria",NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Planctomycetota","Phycisphaerae","MSBL9","ST-NAGAB-D1",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","SWB02","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","SAR","Labyrinthulomycetes","Labyrinthulomycetes_or","Labyrinthulomycetes_fa","Sorodiplophrys","Eukaryota","Stramenopiles","Sagenista","Labyrinthulomycetes",NA,NA,NA,NA
"Eukaryota","Archamoebae","Incertae Sedis_2","Incertae Sedis_2_or","Incertae Sedis_2_fa","Rhizomastix","Eukaryota",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Arthropoda","Insecta","Lepidoptera",NA,NA,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Hexapoda","Insecta","Lepidoptera",NA
"Archaea","Thermoplasmatota","Thermoplasmata","Thermoplasmatales","Ferroplasmaceae","Ferroplasma","Archaea",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Candidatus Nasuia","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae","Candidatus Protochlamydia","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","Roseimarinus","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Eukaryota_ph","Discosea","Dactylopodida","Dactylopodida_fa","Angulamoeba","Eukaryota","Amoebozoa","Lobosa","Discosea-Flabellinia","Dactylopodida",NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Candidatus Riesia","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Protalveolata","Syndiniales","Syndiniales_or","Syndiniales_fa","Amoebophrya","Eukaryota","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-4","Amoebophrya",NA
"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Gymnodiniphycidae_fa","Amphidinium","Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Amphidinium",NA
"Eukaryota","Annelida","Polychaeta","Phyllodocida",NA,NA,"Eukaryota","Opisthokonta","Metazoa","Annelida",NA,NA,NA,NA
"Eukaryota","Cercozoa","Novel Clade 10",NA,NA,NA,"Eukaryota","Rhizaria","Cercozoa",NA,NA,NA,NA,NA
"Eukaryota","Dictyostelia","Dictyostelia_cl","Dictyostelia_or","Dictyostelia_fa","Polysphondylium","Eukaryota",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Arthropoda","Maxillopoda","Calanoida",NA,NA,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda",NA,NA
"Eukaryota","Euglenozoa","Euglenida","Euglenida_or","Phacaceae","Phacus","Eukaryota","Excavata","Discoba","Euglenozoa","Euglenida","Euglenales","Phacus",NA
"Bacteria","NB1-j",NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Dependentiae","Babeliae","Babeliales","UBA12411",NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Nitrospinota","Nitrospinia","Nitrospinales","Nitrospinaceae","LS-NOB","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Desulfobacterota","Desulfomonilia","Desulfomonilales","Desulfomonilaceae","Desulfomonile","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Peridiniales_fa","Protoperidinium","Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Peridiniales","Protoperidiniaceae","Protoperidinium",NA
"Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","Oligoflexales_fa","Pseudobacteriovorax","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20",NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Nitrospinota","Nitrospinia","Nitrospinales","Nitrospinaceae","Nitrospina","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10","Bacteria",NA,NA,NA,NA,NA,NA,NA
